,monthly_net_return
2011-02-28,0.035777932483937486
2011-03-31,0.018929737121174933
2011-05-31,-0.006507783574382204
2011-06-30,-0.0021719697794837702
2011-08-31,-0.11026841443642157
2011-09-30,-0.08096308086975575
2011-10-31,0.08798115786953752
2011-11-30,0.008348279895824446
2012-01-31,0.02631035752599045
2012-02-29,0.03242084620118317
2012-04-30,0.06875974941188857
2012-05-31,-0.050112368956078096
2012-07-31,0.02260096066971611
2012-08-31,0.008805375385669355
2012-10-31,0.016733528704010275
2012-11-30,0.014881259445236408
2012-12-31,0.01619449722902005
2013-01-31,0.04571017568508671
2013-02-28,0.004436721136709364
2013-04-30,0.09864538314585039
2013-05-31,0.029743726893157255
2013-07-31,0.04794612277257267
2013-09-30,4.6544627080385916e-05
2013-10-31,0.05022410007813549
2013-12-31,0.06967740931474987
2014-01-31,-0.02997389506595438
2014-02-28,0.054588072407181935
2014-03-31,-0.034642905268956595
2014-04-30,-0.016552035569955506
2014-06-30,0.06654731486357784
2014-07-31,-0.003944505228226314
2014-09-30,0.03486749179600568
2014-10-31,0.012567307250887654
2014-12-31,0.031114838426099124
2015-03-31,0.03025939138490182
2015-04-30,-0.012668757652141737
2015-06-30,0.04761895194796996
2015-07-31,0.05330308098801305
2015-08-31,-0.05447476846484335
2015-09-30,-0.0059528211135253155
2015-11-30,0.08483648134326267
2015-12-31,0.0013196092703734404
2016-02-29,-0.06972546621027988
2016-03-31,0.06449606478622925
2016-05-31,0.009499841842960518
2016-06-30,0.026742816287410723
2016-08-31,0.045321069831712815
2016-09-30,0.009999322558104956
2016-10-31,-0.02663269029603164
2016-11-30,0.0217723715838574
2017-01-31,0.021509415440728298
2017-02-28,0.04945454414395749
2017-03-31,-0.006307897250765383
2017-05-31,0.03842229263794377
2017-06-30,0.017039989013494936
2017-07-31,0.06450654325355358
2017-08-31,0.010079141690920739
2017-10-31,0.0960296296140508
2017-11-30,0.045689683338318444
2018-01-31,0.11167131497869902
2018-02-28,-0.014848091227980644
2018-04-30,-0.028803990472186493
2018-05-31,0.07135286709895995
2018-07-31,0.02891828505714208
2018-08-31,0.07093351590684639
2018-10-31,-0.08918739564533004
2018-11-30,-0.0063103342655596245
2018-12-31,-0.06662312515598619
2019-01-31,0.06972479759502902
2019-02-28,0.04621064412585392
2019-04-30,0.016227328269746162
2019-05-31,-0.030988612797062446
2019-07-31,0.07468559925710376
2019-09-30,0.007299557786232497
2019-10-31,-1.4478670047172537e-05
2019-12-31,0.04179433774525566
2020-01-31,0.03512365780207024
2020-03-31,-0.15301323635035016
2020-04-30,0.10378603113647436
2020-06-30,0.05759217305391782
2020-07-31,0.06270488736289152
2020-08-31,0.09988629084879384
2020-09-30,-0.03303813158999408
2020-11-30,0.0377714851526212
2020-12-31,0.023427173860885008
2021-03-31,0.020761877037331105
2021-04-30,0.02532650065300273
2021-06-30,0.05240239019526228
2021-08-31,0.014064129511353805
2021-09-30,-0.03167348491084806
2021-11-30,0.03758926272821758
2021-12-31,0.031095311486545586
2022-01-31,-0.019172376392444096
2022-02-28,-0.04189393842258619
2022-03-31,0.031690084205595694
2022-05-31,-0.04233702822796142
2022-06-30,-0.033296170046465186
2022-08-31,0.0069139858762803
2022-09-30,-0.04872421644089186
2022-10-31,0.14037872288675668
2022-11-30,0.03172457722154231
2023-01-31,-0.04869052743827639
2023-02-28,-0.05051897084843725
2023-03-31,0.005975918393818308
2023-05-31,-0.01255225792352208
2023-06-30,0.07400798642507708
2023-07-31,0.020259358408169344
2023-08-31,0.014488061808202102
2023-10-31,-0.09068880791522471
2023-11-30,0.13005072810882184
2024-01-31,0.09008759411458729
2024-02-29,0.10279208130977677
2024-04-30,-0.009121018731483245
2024-05-31,0.05245263818214686
2024-07-31,0.013374207080681088
2024-09-30,0.06161986892099072
2024-10-31,0.016183660447692986
