period,months,ann_return_%,ann_vol_%,Sharpe,Sharpe_std_error,Sharpe_t_stat,max_drawdown_%,hit_rate_%,avg_turnover,beta,alpha_ann_%,corr
long-only FULL,117,23.396899660957217,17.2607470399227,1.3142090785754867,0.33157965294746544,3.963479263257768,-18.938966797264822,70.08547008547008,0.6836710150286832,0.8893936277282283,2.0862822290245777,0.8644603108527207
in-sample,70,23.725842184984014,15.703355156785973,1.4452579406542183,0.4316808552873297,3.3479778474128645,-18.938966797264822,71.42857142857143,0.6882610829274929,1.0089089156846858,0.006067557984212879,0.8752178650810681
OUT-OF-SAMPLE,47,22.908605764694222,19.529905263113754,1.1606608716370421,0.5192786901789137,2.23514057786031,-15.301323635035013,68.08510638297872,0.6768347436900308,0.8254981181167348,2.725006252707522,0.8632560702177067
BENCHMARK (equal-wt),117,24.023430126391165,16.921486259921814,1.3686469791997287,0.3325194843829863,4.1159903208058655,-20.834274937522025,71.7948717948718,0.0,,,
